Plaatsnaam;Provincie;Latitude;Longitude
Elahuizen;Friesland;529.255.427;55.416.776
Elburg;Gelderland;524.513.173;58.663.213
Eldersloo;Drenthe;529.650.281;66.177.493
Eleveld;Drenthe;529.576.059;65.822.239
Elim;Drenthe;526.813.088;65.800.537
Elkenrade;Limburg;508.410.995;59.183.908
Ell;Limburg;512.201.477;57.950.699
Ellecom;Gelderland;520.317.786;60.874.534
Ellemeet;Zeeland;517.297.274;38.158.588
Ellertshaar;Drenthe;528.930.072;6.737.203
Ellewoutsdijk;Zeeland;513.891.882;38.160.041
Elp;Drenthe;528.813.809;66.456.093
Elsendorp;Noord-Brabant;515.807.827;57.692.663
Elshout;Noord-Brabant;5.170.193;51.421.528
Elsloo;Limburg;509.484.656;57.696.738
Elsloo;Friesland;529.405.589;62.378.214
Elspeet;Gelderland;522.924.294;57.876.983
Elst;Gelderland;519.029.351;58.484.157
Elst;Utrecht;519.868.436;5.483.581
Emmeloord;Flevoland;52.716.881;57.906.803
Emmen;Drenthe;527.351.959;69.020.733
Emmer-Compascuum;Drenthe;528.117.839;70.457.254
Empe;Gelderland;521.552.704;61.410.918
Emst;Gelderland;523.142.226;59.752.263
Engwierum;Friesland;533.199.914;61.366.541
Enkhuizen;Noord-Holland;527.195.107;52.746.228
Ens;Flevoland;52.636.582;58.271.288
Enschede;Overijssel;522.032.474;67.939.971
Enspijk;Gelderland;518.834.486;52.113.753
Enter;Overijssel;52.294.847;65.780.796
Enumatil;Groningen;532.162.222;64.073.857
Epe;Gelderland;523.727.312;59.282.704
Epen;Limburg;507.748.368;59.137.339
Eppenhuizen;Groningen;533.812.944;66.968.944
Epse;Gelderland;522.250.088;62.020.898
Erica;Drenthe;527.103.574;69.281.865
Erichem;Gelderland;518.999.593;53.486.729
Erlecom;Gelderland;518.480.833;59.612.034
Erm;Drenthe;52.75;6.816.667
Ermelo;Gelderland;523.038.053;55.903.572
Erp;Noord-Brabant;516.015.073;56.062.082
Esbeek;Noord-Brabant;514.622.478;51.370.682
Esch;Noord-Brabant;51.611.461;52.901.588
Escharen;Noord-Brabant;517.411.436;57.536.682
Espel;Flevoland;52.724.601;56.419.913
Est;Gelderland;518.519.987;53.127.915
Etten;Gelderland;519.158.139;63.387.627
Etten-Leur;Noord-Brabant;515.585.918;46.155.138
Europoort;Zuid-Holland;51.943.333;41.425
Eursinge;Drenthe;528.372.288;66.069.745
Everdingen;Utrecht;519.651.631;51.556.903
Evertsoord;Limburg;514.035.422;59.583.872
Ewijk;Gelderland;51.869.987;57.374.579
Exloërveen;Drenthe;52.9;6.9
Exloo;Drenthe;528.826.954;68.648.949
Exmorra;Friesland;53.055.539;5.464.973
Eygelshoven;Limburg;508.920.268;60.591.374
Eys;Limburg;508.257.683;59.349.048
Ezinge;Groningen;533.109.973;64.398.085
Farmsum;Groningen;533.230.048;692.796
Feanwâlden;Friesland;53.233.333;6
Feerwerd;Groningen;53.306.512;64.660.335
Feinsum;Friesland;532.782.673;57.549.925
Ferwert;Friesland;533.377.628;5.824.424
Ferwoude;Friesland;530.057.009;54.332.717
Fijnaart;Noord-Brabant;516.364.799;44.731.556
Finsterwolde;Groningen;531.979.816;70.854.038
Firdgum;Friesland;532.485.421;55.601.505
Fleringen;Overijssel;523.806.059;68.048.226
Fluitenberg;Drenthe;527.360.087;64.520.253
Fochteloo;Friesland;52.985.614;63.385.027
Follega;Friesland;528.862.034;57.361.296
Folsgare;Friesland;530.377.002;56.045.421
Formerum;Friesland;533.898.535;53.098.956
Foudgum;Friesland;533.451.929;59.416.273
Foxhol;Groningen;531.687.067;67.186.336
Foxwolde;Drenthe;531.522.318;6.450.822
Franeker;Friesland;531.950.854;55.287.618
Frederiksoord;Drenthe;528.434.333;61.838.777
Friens;Friesland;530.994.661;5.800.429
Frieschepalen;Friesland;531.096.648;62.058.479
Froombosch;Groningen;531.940.672;67.802.855
Gaanderen;Gelderland;519.302.044;63.477.531
Gaast;Friesland;530.163.297;5.409.823
Gaastmeer;Friesland;529.645.319;55.433.936
Galder;Noord-Brabant;515.142.098;47.741.483
Gameren;Gelderland;518.021.249;52.071.399
Gapinge;Zeeland;515.438.497;36.242.172
Garderen;Gelderland;522.329.632;57.148.144
Garmerwolde;Groningen;532.486.932;66.482.078
Garminge;Drenthe;528.196.509;66.236.719
Garnwerd;Groningen;533.041.279;64.927.435
Garrelsweer;Groningen;533.110.984;67.695.588
Garsthuizen;Groningen;533.685.301;67.128.526
Garyp;Friesland;531.673.127;59.703.906
Gassel;Noord-Brabant;517.404.991;57.805.781
Gasselte;Drenthe;529.712.794;67.878.789
Gasselternijveen;Drenthe;529.863.205;68.460.424
Gasselternijveenschemond;Drenthe;529.950.118;68.973.968
Gastel;Noord-Brabant;512.850.098;55.564.143
Gasteren;Drenthe;530.359.552;66.630.831
Gauw;Friesland;530.585.683;57.140.367
Geelbroek;Drenthe;529.504.715;6.572.175
Geerdijk;Overijssel;52.473.871;65.361.971
Geersdijk;Zeeland;515.646.664;37.706.136
Geertruidenberg;Noord-Brabant;517.023.659;48.499.781
Geervliet;Zuid-Holland;518.613.451;42.608.302
Gees;Drenthe;527.495.746;66.910.798
Geesbrug;Drenthe;52.727.147;66.343.282
Geesteren;Overijssel;524.195.673;67.367.375
Geesteren;Gelderland;521.388.797;65.258.544
Geeuwenbrug;Drenthe;52.872.778;6.370.278
Geffen;Noord-Brabant;517.377.855;54.582.737
Geldermalsen;Gelderland;518.820.038;52.910.872
Gelderswoude;Zuid-Holland;520.909.366;45.310.052
Geldrop;Noord-Brabant;514.331.289;55.641.591
Geleen;Limburg;510.099.381;57.927.714
Gellicum;Gelderland;518.769.615;51.557.083
Gelselaar;Gelderland;521.701.382;65.244.158
Gemert;Noord-Brabant;515.632.604;57.083.093
Gemonde;Noord-Brabant;516.121.094;53.724.606
Genderen;Noord-Brabant;517.359.282;50.894.323
Gendringen;Gelderland;518.733.236;63.773.066
Gendt;Gelderland;518.746.119;59.732.173
Genemuiden;Overijssel;526.191.047;60.523.908
Gennep;Limburg;516.978.545;59.726.751
Gerkesklooster;Friesland;532.411.194;62.074.842
Gersloot;Friesland;530.046.927;596.085
Geulle;Limburg;509.219.779;57.493.883
Geysteren;Limburg;51.550.566;60.499.585
Giesbeek;Gelderland;519.937.389;60.707.844
Giessen;Noord-Brabant;517.906.305;5.030.891
Giessenburg;Zuid-Holland;518.503.556;48.906.273
Gieten;Drenthe;530.052.661;67.634.062
Gieterveen;Drenthe;530.252.696;68.358.863
Giethmen;Overijssel;52.488.687;64.107.738
Giethoorn;Overijssel;527.401.779;60.779.779
Gilze;Noord-Brabant;515.442.814;49.413.872
Ginnum;Friesland;533.225.979;58.745.555
Glane;Overijssel;52.233.839;70.033.132
Glas;Groningen;529.676.555;6.965.779
Glimmen;Groningen;531.407.193;662.846
Godlinze;Groningen;53.372.001;68.132.272
Goedereede;Zuid-Holland;518.180.728;39.773.845
Goënga;Friesland;53.05;5.7
Goëngahuizen;Friesland;530.833.333;58.833.333
Goes;Zeeland;515.208.686;39.135.898
Goingarijp;Friesland;530.101.991;57.705.574
Goirle;Noord-Brabant;515.297.465;5.090.052
Goor;Overijssel;522.473.496;66.049.089
Gorinchem;Zuid-Holland;518.336.817;49.937.947
Gorredijk;Friesland;53.003.762;60.648.636
Gorssel;Gelderland;52.201.424;62.011.394
Gouda;Zuid-Holland;520.056.974;4.677.305
Gouderak;Zuid-Holland;519.840.209;46.772.369
Goudriaan;Zuid-Holland;519.025.271;49.006.544
Goudswaard;Zuid-Holland;517.935.836;4.277.584
Goutum;Friesland;5.317.842;58.069.262
Graauw;Zeeland;513.301.724;41.047.304
Grafhorst;Overijssel;525.806.421;59.337.653
Graft;Noord-Holland;525.622.696;4.832.044
Gramsbergen;Overijssel;526.112.646;6.674.114
Grashoek;Limburg;513.599.859;59.416.989
Grathem;Limburg;511.941.673;58.575.731
Grave;Noord-Brabant;517.589.248;57.383.579
Greonterp;Friesland;530.155.037;55.190.502
Grevenbicht;Limburg;510.378.003;5.774.008
Griendtsveen;Limburg;514.421.994;58.912.113
Grijpskerk;Groningen;532.636.135;6.306.376
Grijpskerke;Zeeland;515.336.858;35.624.386
Groede;Zeeland;513.787.644;35.065.781
Groenekan;Utrecht;521.235.451;51.526.802
Groeningen;Noord-Brabant;516.096.284;59.968.846
Groenlo;Gelderland;52.029.972;66.565.035
Groesbeek;Gelderland;517.599.961;5.950.957
Groessen;Gelderland;519.319.086;60.291.449
Groet;Noord-Holland;527.220.044;46.670.183
Grolloo;Drenthe;529.347.299;66.725.846
Groningen;Groningen;53.241.352;65.358.827
Gronsveld;Limburg;508.093.304;57.316.401
Groot-Ammers;Zuid-Holland;519.246.393;48.253.021
Grootebroek;Noord-Holland;526.982.227;52.229.184
Grootegast;Groningen;532.111.322;62.745.889
Grootschermer;Noord-Holland;525.821.507;4.849.897
Grou;Friesland;530.949.487;58.388.679
Grubbenvorst;Limburg;514.199.823;61.448.144
Gulpen;Limburg;508.155.841;58.914.093
Guttecoven;Limburg;510.135.741;58.177.077
Gytsjerk;Friesland;532.410.241;58.907.254
Haaften;Gelderland;518.176.296;52.116.242
Haaksbergen;Overijssel;521.679.244;67.358.316
Haalderen;Gelderland;518.860.922;592.783
Haaren;Noord-Brabant;516.021.331;52.267.124
Haarle;Overijssel;524.024.861;68.402.643
Haarlem;Noord-Holland;523.573.351;46.643.064
Haarlemmerliede;Noord-Holland;523.885.691;46.895.554
Haarlo;Gelderland;52.111.698;65.803.627
Haarsteeg;Noord-Brabant;517.102.766;51.984.482
Haarzuilens;Utrecht;521.211.155;4.998.104
Haastrecht;Zuid-Holland;51.998.047;47.773.595
Haelen;Limburg;512.359.716;59.549.078
Hagestein;Utrecht;519.806.962;51.222.922
Haghorst;Noord-Brabant;514.959.221;52.069.552
Haler;Limburg;511.880.645;57.800.231
Halfweg;Noord-Holland;523.819.918;47.538.293
Hall;Gelderland;521.119.999;61.016.524
Halle;Gelderland;519.904.752;64.288.122
Hallum;Friesland;533.051.209;5.784.383
Halsteren;Noord-Brabant;51.528.771;42.692.644
Handel;Noord-Brabant;51.579.495;57.137.118
Hank;Noord-Brabant;51.734.558;48.959.349
Hansweert;Zeeland;514.491.458;40.043.985
Hantum;Friesland;533.625.326;59.649.229
Hantumeruitburen;Friesland;533.599.912;60.026.793
Hantumhuizen;Friesland;533.723.979;59.977.785
Hapert;Noord-Brabant;513.685.373;52.558.944
Haps;Noord-Brabant;516.896.523;58.625.696
Harbrinkhoek;Overijssel;523.850.724;67.205.855
Hardenberg;Overijssel;525.791.731;66.020.617
Harderwijk;Gelderland;523.477.539;56.480.207
Hardinxveld-Giessendam;Zuid-Holland;518.434.743;48.225.236
Haren;Noord-Brabant;518.014.577;55.849.108
Haren;Groningen;53.179.346;66.300.449
Harfsen;Gelderland;522.072.171;62.973.588
Harich;Friesland;529.024.442;55.636.659
Haringhuizen;Noord-Holland;527.730.739;48.287.535
Harkema;Friesland;531.848.919;61.379.033
Harkstede;Groningen;532.138.533;67.004.451
Harlingen;Friesland;531.633.047;54.568.733
Harmelen;Utrecht;520.881.698;49.632.883
Harreveld;Gelderland;519.802.834;65.144.451
Harskamp;Gelderland;521.348.693;57.495.058
Hartwerd;Friesland;530.681.155;55.682.032
Haskerdijken;Friesland;529.927.516;58.820.568
Haskerhorne;Friesland;529.533.826;58.293.375
Hasselt;Overijssel;525.945.065;61.004.927
Hattem;Gelderland;524.827.273;60.522.814
Hattemerbroek;Gelderland;524.740.221;60.225.654
Haule;Friesland;530.365.305;63.046.863
Haulerwijk;Friesland;530.653.054;63.319.233
Hauwert;Noord-Holland;527.194.003;51.242.614
Havelte;Drenthe;527.712.587;623.594
Havelterberg;Drenthe;527.730.409;6.176.729
Hazerswoude Dorp;Zuid-Holland;520.968.416;45.845.985
Hazerswoude Rijndijk;Zuid-Holland;52.129.167;4.593.056
Hedel;Gelderland;517.460.077;52.600.561
Hee;Friesland;533.755.111;5.255.395
Heeg;Friesland;529.715.521;5.605.224
Heel;Limburg;511.773.069;58.974.233
Heelsum;Gelderland;519.821.438;5.752.274
Heelweg;Gelderland;51.971.667;6.465.556
Heemserveen;Overijssel;52.586.265;65.806.667
Heemskerk;Noord-Holland;525.167.888;46.148.846
Heemstede;Noord-Holland;523.609.123;46.070.824
Heenvliet;Zuid-Holland;518.651.667;42.431.951
Heerde;Gelderland;523.909.176;6.049.638
Heerenveen;Friesland;529.675.745;59.402.995
Heerewaarden;Gelderland;518.173.181;53.930.495
Heerhugowaard;Noord-Holland;526.450.591;48.201.698
Heerjansdam;Zuid-Holland;518.359.184;45.656.402
Heerle;Noord-Brabant;515.195.961;43.606.999
Heerlen;Limburg;508.449.365;60.064.879
Heesch;Noord-Brabant;517.317.098;55.278.266
Heesselt;Gelderland;518.134.984;53.471.298
Heeswijk-Dinther;Noord-Brabant;51.650.278;5.475
Heeten;Overijssel;523.326.062;62.815.599
Heeze;Noord-Brabant;513.809.718;55.758.263
Hegebeintum;Friesland;533.368.943;58.503.137
Hegelsom;Limburg;514.342.209;60.229.257
Hei- en Boeicop;Zuid-Holland;519.446.455;50.819.124
Heibloem;Limburg;513.007.315;58.957.599
Heide;Limburg;515.049.224;59.503.411
Heijen;Limburg;51.674.561;59.788.072
Heijenrath;Limburg;507.761.248;58.742.237
Heijningen;Noord-Brabant;516.558.653;44.125.141
Heikant;Zeeland;512.522.521;40.342.834
Heilig Landstichting;Gelderland;518.144.753;58.893.539
Heiligerlee;Groningen;531.549.624;70.118.901
Heiloo;Noord-Holland;526.047.859;46.896.145
Heinenoord;Zuid-Holland;51.827.373;44.833.706
Heinkenszand;Zeeland;514.731.889;3.814.473
Heino;Overijssel;524.338.808;62.328.879
Hekelingen;Zuid-Holland;518.254.264;43.447.884
Hekendorp;Utrecht;52.014.957;48.100.511
Helden;Limburg;51.319.895;60.003.768
Helenaveen;Noord-Brabant;513.907.101;5.917.854
Hellendoorn;Overijssel;523.870.446;64.542.947
Hellevoetsluis;Zuid-Holland;518.390.401;41.771.015
Hellouw;Gelderland;518.277.306;51.774.625
Hellum;Groningen;53.238.146;68.380.764
Helmond;Noord-Brabant;514.873.818;56.960.332
Helvoirt;Noord-Brabant;51.630.874;52.301.204
Hem;Noord-Holland;52.661.111;5.183.056
Hemelum;Friesland;52.880.709;54.560.155
Hemmen;Gelderland;519.342.706;56.999.306
Hempens;Friesland;53.178.766;58.378.606
Hemrik;Friesland;530.316.772;61.379.988
Hendrik-Ido-Ambacht;Zuid-Holland;518.319.652;46.481.189
Hengelo;Gelderland;520.520.215;63.113.901
Hengelo;Overijssel;522.987.709;68.038.277
Hengevelde;Overijssel;521.973.319;66.395.278
Hengstdijk;Zeeland;51.344.126;39.959.942
Hensbroek;Noord-Holland;526.581.914;48.848.386
Herbaijum;Friesland;531.848.118;54.954.675
Herkenbosch;Limburg;511.564.244;60.584.854
Herkingen;Zuid-Holland;517.102.808;40.879.282
Hernen;Gelderland;518.339.481;56.805.759
Herpen;Noord-Brabant;517.719.286;56.419.812
Herten;Limburg;51.181.315;59.624.494
Hertme;Overijssel;523.201.799;67.601.777
Herveld;Gelderland;519.030.519;57.536.219
Herwen;Gelderland;518.871.911;61.022.394
Herwijnen;Gelderland;518.266.984;51.296.092
Heteren;Gelderland;519.599.741;57.509.005
Heukelom;Noord-Brabant;515.758.107;5.154.778
Heukelum;Gelderland;518.715.098;50.740.528
Heumen;Gelderland;517.645.323;58.431.502
Heurne;Gelderland;52.014.433;64.405.166
Heusden;Noord-Brabant;513.828.656;57.649.501
Heythuysen;Limburg;512.474.835;59.014.274
Hezingen;Overijssel;5.244.141;68.567.959
Hiaure;Friesland;533.472.454;59.730.214
Hichtum;Friesland;530.813.543;5.525.951
Hidaard;Friesland;530.794.605;56.032.291
Hierden;Gelderland;523.567.091;5.676.924
Hieslum;Friesland;530.083.208;54.885.496
Hijken;Drenthe;528.954.729;64.980.439
Hijum;Friesland;532.905.323;57.665.838
Hilaard;Friesland;531.649.603;57.117.022
Hillegom;Zuid-Holland;522.996.272;4.572.175
Hilvarenbeek;Noord-Brabant;514.856.827;51.384.062
Hilversum;Noord-Holland;522.284.437;5.198.227
Hindeloopen;Friesland;529.426.846;54.012.542
Hinnaard;Friesland;531.125.561;56.353.678
Hippolytushoef;Noord-Holland;529.076.257;49.628.723
Hitzum;Friesland;531.661.334;55.195.989
Hobrede;Noord-Holland;525.446.616;49.802.415
Hoedekenskerke;Zeeland;51.424.627;39.130.838
Hoek;Zeeland;513.116.932;37.807.246
Hoek van Holland;Zuid-Holland;519.806.322;41.341.847
Hoenderloo;Gelderland;520.829.795;58.597.576
Hoensbroek;Limburg;50.911.513;59.303.478
Hoenzadriel;Gelderland;517.541.878;53.293.322
Hoevelaken;Gelderland;521.723.953;54.642.877
Hoeven;Noord-Brabant;515.791.978;45.839.864
Hoge Hexel;Overijssel;523.963.222;65.641.148
Hollandsche Rading;Utrecht;521.770.657;51.853.519
Hollandscheveld;Drenthe;527.051.845;65.394.136
Hollum;Friesland;534.393.987;5.639.648
Holsloot;Drenthe;527.282.157;68.023.629
Holten;Overijssel;52.282.724;64.222.585
Holthees;Noord-Brabant;515.740.303;60.084.241
Holtheme;Overijssel;526.132.395;66.916.399
Holthone;Overijssel;526.412.029;66.841.063
Holtum;Limburg;510.484.812;58.240.233
Holwerd;Friesland;533.683.775;59.005.378
Holwierde;Groningen;533.582.111;68.715.636
Hommerts;Friesland;52.981.679;56.501.505
Homoet;Gelderland;51.933.841;579.026
Honselersdijk;Zuid-Holland;52;4.233.333
Hoofddorp;Noord-Holland;522.960.432;46.638.765
Hoofdplaat;Zeeland;513.697.876;36.615.801
Hoog Soeren;Gelderland;52.205.141;58.655.143
Hoog-Keppel;Gelderland;52.005.582;62.038.641
Hoogblokland;Zuid-Holland;518.744.633;49.753.367
Hooge Mierde;Noord-Brabant;513.894.095;51.287.338
Hooge Zwaluwe;Noord-Brabant;516.883.234;47.426.213
Hoogeloon;Noord-Brabant;51.396.699;52.684.294
Hoogenweg;Overijssel;525.667.895;66.617.967
Hoogerheide;Noord-Brabant;514.242.798;43.236.734
Hoogersmilde;Drenthe;529.072.524;63.982.293
Hoogeveen;Drenthe;527.140.571;64.183.299
Hoogezand;Groningen;53.130.147;67.834.293
Hooghalen;Drenthe;529.210.493;65.398.545
Hoogkarspel;Noord-Holland;526.925.934;51.652.989
Hoogland;Utrecht;521.842.738;53.746.083
Hooglanderveen;Utrecht;521.893.644;54.283.866
Hoogmade;Zuid-Holland;521.688.532;45.828.795
Hoogvliet;Zuid-Holland;518.716.399;43.725.491
Hoogwoud;Noord-Holland;527.165.189;49.345.332
Hoorn;Noord-Holland;526.498.702;5.089.475
Hoorn;Friesland;533.970.134;53.436.161
Hoornaar;Zuid-Holland;518.818.928;49.446.089
Hoornsterzwaag;Friesland;529.983.239;61.723.081
Horn;Limburg;512.100.669;59.472.027
Hornhuizen;Groningen;533.883.106;63.597.681
Horssen;Gelderland;518.551.824;5.609.271
Horst;Limburg;514.503.945;60.514.924
Houten;Utrecht;520.335.876;5.169.201
Houtigehage;Friesland;531.532.187;6.143.244
Houwerzijl;Groningen;533.358.028;63.412.882
Huijbergen;Noord-Brabant;514.330.637;43.779.637
Huis ter Heide;Utrecht;521.119.467;52.539.372
Huis ter Heide;Drenthe;530.132.858;64.851.925
Huisduinen;Noord-Holland;529.531.094;47.256.959
Huissen;Gelderland;519.441.013;59.271.487
Huizen;Noord-Holland;522.960.871;52.801.443
Huizinge;Groningen;533.452.057;66.736.326
Hulsberg;Limburg;50.889.875;58.578.124
Hulsel;Noord-Brabant;513.879.936;51.789.361
Hulshorst;Gelderland;523.624.138;57.252.759
Hulst;Zeeland;51.275.124;40.697.191
Hulten;Noord-Brabant;515.722.857;49.549.864
Hummelo;Gelderland;520.054.488;62.341.555
Húns;Friesland;531.673;566.671
Hunsel;Limburg;511.881.543;58.131.944
Hurdegaryp;Friesland;5.321.487;5.941.003
Hurwenen;Gelderland;518.114.711;53.139.749
Idaerd;Friesland;531.187.878;58.126.966
Idsegahuizum;Friesland;530.430.986;54.180.548
Idskenhuizen;Friesland;529.283.231;57.137.736
Idzega;Friesland;529.799.028;55.533.645
Iens;Friesland;531.220.978;56.133.302
IJhorst;Overijssel;526.593.004;62.925.301
IJlst;Friesland;530.113.587;5.620.591
IJmuiden;Noord-Holland;524.596.694;45.722.245
IJpecolsga;Friesland;531.641.642;57.817.542
IJsbrechtum;Friesland;530.419.773;56.325.566
IJsselham;Overijssel;528.081.866;59.574.952
IJsselmuiden;Overijssel;525.653.152;59.325.723
IJsselstein;Utrecht;520.120.079;50.391.572
IJzendijke;Zeeland;513.217.174;36.167.632
IJzendoorn;Gelderland;519.069.217;55.329.587
Ilpendam;Noord-Holland;524.631.783;49.513.713
Indijk;Friesland;529.467.921;56.018.568
Ingber;Limburg;508.182.441;58.596.677
Ingelum;Friesland;532.248.968;57.134.824
Ingen;Gelderland;519.601.532;54.867.641
It Heidenskip;Friesland;529.488.351;55.018.875
Itens;Friesland;531.014.059;56.432.917
Ittervoort;Limburg;511.698.532;58.180.288
Jaarsveld;Utrecht;519.695.221;49.774.626
Jabeek;Limburg;509.812.482;59.408.642
Jannum;Friesland;533.124.887;59.027.227
Jellum;Friesland;531.686.191;57.402.157
Jelsum;Friesland;532.346.703;57.830.762
Jirnsum;Friesland;530.806.327;57.936.461
Jislum;Friesland;533.124.833;5.878.267
Jisp;Noord-Holland;525.078.271;48.483.414
Jistrum;Friesland;532.120.483;60.668.986
Jonkerslân;Friesland;5.297.564;604.255
Jonkersvaart;Groningen;53.128.863;62.998.715
Joppe;Gelderland;52.208.341;62.307.681
Jorwert;Friesland;53.144.848;57.118.331
Joure;Friesland;529.628.197;57.635.429
Jouswier;Friesland;533.499.847;6.073.475
Jubbega;Friesland;530.034.237;61.221.374
Jutrijp;Friesland;52.994.763;56.500.956
Kaag;Zuid-Holland;522.160.589;45.594.046
Kaart;Friesland;533.766.227;52.703.421
Kaatsheuvel;Noord-Brabant;516.514.138;50.212.564
Kalenberg;Overijssel;527.762.674;59.560.481
Kallenkote;Overijssel;527.953.581;61.722.833
Kamerik;Utrecht;521.114.269;48.951.413
Kampen;Overijssel;526.040.619;5.903.176
Kamperland;Zeeland;515.706.508;37.022.927
Kamperveen;Overijssel;525.092.678;59.151.615
Kantens;Groningen;533.654.395;66.337.947
Kapel-Avezaath;Gelderland;518.868.164;53.516.459
Kapelle;Zeeland;514.847.546;39.596.313
Kapellebrug;Zeeland;512.543.768;40.650.501
Katlijk;Friesland;529.473.703;60.124.351
Kats;Zeeland;515.679.227;38.860.162
Kattendijke;Zeeland;515.233.235;39.444.848
Katwijk;Zuid-Holland;521.919.254;43.938.879
Katwijk;Noord-Brabant;517.500.836;58.710.693
Katwoude;Noord-Holland;524.694.862;50.471.278
Kedichem;Zuid-Holland;51.859.547;50.500.158
Keijenborg;Gelderland;520.291.979;62.977.603
Kekerdom;Gelderland;518.646.192;60.094.122
Kelpen-Oler;Limburg;512.180.484;58.284.007
Kerk-Avezaath;Gelderland;518.915.184;5.393.779
Kerkdriel;Gelderland;517.711.528;53.380.468
Kerkenveld;Drenthe;526.674.899;65.046.801
Kerkrade;Limburg;508.919.172;60.448.767
Kerkwerve;Zeeland;51.685.601;38.995.116
Kerkwijk;Gelderland;517.750.073;52.195.059
Kessel;Limburg;512.926.693;60.540.036
Kesteren;Gelderland;51.934.119;55.720.304
Kiel-Windeweer;Groningen;531.159.218;67.769.511
Kilder;Gelderland;519.375.549;62.321.038
Kimswerd;Friesland;53.141.862;54.394.094
Kinderdijk;Zuid-Holland;518.837.436;46.330.916
Kinnum;Friesland;533.753.702;52.761.001
Klaaswaal;Zuid-Holland;51.771.621;4.446.888
Klarenbeek;Gelderland;521.679.007;60.642.918
Klazienaveen;Drenthe;527.325.933;69.693.983
Klazienaveen-Noord;Drenthe;527.719.191;70.020.222
Klijndijk;Drenthe;528.304.724;6.857.936
Klimmen;Limburg;508.716.769;58.846.898
Kloetinge;Zeeland;514.825.192;39.192.899
Klooster-Lidlum;Friesland;532.300.428;55.240.626
Kloosterburen;Groningen;533.873.598;63.912.951
Kloosterhaar;Overijssel;524.952.797;66.701.002
Kloosterzande;Zeeland;513.693.216;40.131.792
Klundert;Noord-Brabant;516.643.563;45.328.828
Knegsel;Noord-Brabant;513.996.231;5.344.687
Koarnjum;Friesland;532.437.894;57.807.181
Kockengen;Utrecht;521.482.984;49.505.617
Koedijk;Noord-Holland;526.849.868;47.601.595
Koekange;Drenthe;527.000.927;63.184.641
Koewacht;Zeeland;512.293.853;39.680.779
Kolderwolde;Friesland;52.897.222;5.51
Kolham;Groningen;531.822.731;67.446.024
Kolhorn;Noord-Holland;527.948.147;48.900.181
Kollum;Friesland;532.801.424;61.477.459
Kollumerpomp;Friesland;533.040.887;61.902.579
Kollumerzwaag;Friesland;532.624.507;60.760.993
Kommerzijl;Groningen;532.957.405;63.306.687
Koningsbosch;Limburg;510.512.859;59.583.775
Koningslust;Limburg;513.564.059;5.993.904
Koog aan de Zaan;Noord-Holland;524.607.871;48.047.292
Kootstertille;Friesland;532.118.299;60.922.821
Kootwijk;Gelderland;521.846.413;57.704.693
Kootwijkerbroek;Gelderland;52.150.776;56.671.862
Kornhorn;Groningen;531.811.895;62.425.921
Kornwerderzand;Friesland;530.726.456;5.337.913
Kortehemmen;Friesland;530.837.231;60.683.656
Kortenhoef;Noord-Holland;522.299.147;509.164
Kortgene;Zeeland;515.578.335;38.031.359
Koudekerk aan den Rijn;Zuid-Holland;521.322.767;45.983.776
Koudekerke;Zeeland;514.823.947;35.544.021
Koudum;Friesland;52.914.484;54.482.493
Koufurderrige;Friesland;529.543.965;56.542.861
Krabbendijke;Zeeland;514.308.295;41.121.385
Kraggenburg;Flevoland;52.662.505;5.899.955
Kreileroord;Noord-Holland;528.414.013;50.823.533
Krewerd;Groningen;533.546.854;68.483.261
Krimpen aan de Lek;Zuid-Holland;518.967.207;46.249.309
Krimpen aan den IJssel;Zuid-Holland;519.090.324;46.073.274
Kring van Dorth;Gelderland;522.205.894;62.680.259
Krommenie;Noord-Holland;52.508.514;47.564.197
Kronenberg;Limburg;514.152.483;60.005.521
Kropswolde;Groningen;531.435.452;67.257.669
Kruiningen;Zeeland;514.488.556;4.034.088
Kruisland;Noord-Brabant;515.703.451;44.074.783
Kûbaard;Friesland;531.166.667;55.666.667
Kudelstaart;Noord-Holland;522.384.184;47.519.489
Kuinre;Overijssel;527.876.615;58.412.115
Kuitaart;Zeeland;513.419.995;40.344.976
Kwadendamme;Zeeland;514.332.889;38.775.952
Kwadijk;Noord-Holland;52.527.382;49.837.605
Kwintsheul;Zuid-Holland;520.151.806;42.561.308
Laag Zuthem;Overijssel;524.588.197;61.741.547
Laag-Keppel;Gelderland;519.969.999;62.240.648
Laag-Soeren;Gelderland;520.835.588;60.739.664
Lage Mierde;Noord-Brabant;514.059.976;5.150.455
Lage Vuursche;Utrecht;521.803.305;52.150.904
Lage Zwaluwe;Noord-Brabant;517.102.543;47.042.699
Lageland;Groningen;532.410.519;66.873.459
Lambertschaag;Noord-Holland;527.482.137;50.149.131
Lamswaarde;Zeeland;513.436.222;40.559.661
Landerum;Friesland;533.866.214;5.300.388
Landgraaf;Limburg;509.128.608;60.566.905
Landhorst;Noord-Brabant;51.618.252;57.918.908
Landsmeer;Noord-Holland;524.295.674;49.138.121
Langbroek;Utrecht;52.011.957;53.269.077
Langedijke;Friesland;529.616.811;62.816.475
Langelille;Friesland;528.423.439;58.440.204
Langelo;Drenthe;530.931.346;64.449.841
Langenboom;Noord-Brabant;517.022.167;57.291.508
Langerak;Zuid-Holland;519.323.151;48.776.587
