  STN,YYYYMMDD,   FG,   TG,   TN,   TX,    Q,   RH,   PG,   UG
240,20241105,22,72,36,122,644,0,10240,90
240,20241106,20,90,70,109,216,0,10306,93
240,20241107,32,66,35,89,153,0,10328,93
240,20241108,38,46,36,54,96,0,10280,91
240,20241109,20,65,50,80,103,9,10253,93
240,20241110,26,89,68,102,67,0,10274,95
240,20241111,55,106,86,130,476,54,10290,84
240,20241112,41,89,71,105,514,0,10334,84
240,20241113,20,92,51,125,230,-1,10323,90
240,20241114,24,98,69,116,231,6,10287,91
240,20241115,29,94,67,112,168,0,10261,93
240,20241116,52,93,80,108,115,33,10160,91
240,20241117,58,79,52,102,423,61,10099,76
240,20241118,32,56,22,92,396,30,10086,79
240,20241119,42,39,15,52,148,95,9945,90
240,20241120,49,33,2,63,140,113,10004,85
240,20241121,45,24,-10,56,310,28,9974,77
240,20241122,58,40,7,71,160,122,10025,81
240,20241123,77,46,11,98,119,96,10095,87
240,20241124,108,142,96,167,325,6,10020,69
240,20241125,74,113,60,162,87,31,10028,83
240,20241126,50,66,24,105,251,23,10157,91
240,20241127,85,76,36,114,38,127,10111,90
240,20241128,38,69,23,99,393,21,10259,78
240,20241129,31,33,-4,77,449,0,10309,87
240,20241130,42,41,8,65,321,0,10266,84
